achievement_debug                        : 0        : , "cheat", "rep", "cl" : Turn on achievement debug msgs.
bot_auto_vacate                          : 1        : , "sv"           : If nonzero, bots will automatically leave to make room for human players.
bot_choose_target_interval               : 0        : , "sv", "cheat"  : How often, in seconds, a bot can reselect his target
bot_debug_retreat_to_cover               : 0        : , "sv", "cheat"  : 
bot_debug_sniper                         : 0        : , "sv", "cheat"  : 
bot_defend_approach_radius               : 600      : , "sv", "cheat"  : Defines the radius that the bot will move in while defending
bot_fire_weapon_min_time                 : 1        : , "sv", "cheat"  : 
bot_ideal_seperation_range               : 150      : , "sv", "cheat"  : Ideal distance to keep bots apart from each-other
bot_ignore_humans                        : 0        : , "sv", "cheat"  : Bots will ignore all human players if this is set to 1
bot_join_after_player                    : 1        : , "sv"           : If nonzero, bots wait until a player joins before entering the game.
bot_mesh_draw_turret_danger              : 0        : , "sv", "cheat"  : 
bot_mimic                                : 0        : , "cheat", "rep", "cl" : 
bot_mimic_spec_buttons                   : 1        : , "cheat", "cl"  : +attack, +jump etc are used for spectator control instead of being passed on to spectated bot
bot_no_threat_min_time                   : 5        : , "sv", "cheat"  : Time passed without sight of other team to consider being safe
bot_notice_gunfire_range                 : 2000     : , "sv", "cheat"  : 
bot_quota                                : 0        : , "sv"           : Determines the total number of bots in the game.
bot_quota_mode                           : 0        : , "sv"           : Determines the type of quota. Allowed values: 'normal', 'fill', and 'match'. If 'fill', the server will adjust bots to keep N p
bot_retreat_to_cover_range               : 1000     : , "sv", "cheat"  : 
bot_sniper_aim_error                     : 0        : , "sv", "cheat"  : 
bot_sniper_aim_steady_time               : 0        : , "sv", "cheat"  : 
bot_sniper_misfire_chance                : 10       : , "sv", "cheat"  : 
bot_sniper_personal_space_range          : 1000     : , "sv", "cheat"  : Enemies beyond this range don't worry the Sniper
bot_vision_range                         : 1500     : , "sv", "cheat"  : 
bot_wait_in_cover_max_time               : 5        : , "sv", "cheat"  : 
bot_wait_in_cover_min_time               : 2        : , "sv", "cheat"  : 
bot_zoomed_choose_target_interval        : 3        : , "sv", "cheat"  : How often, in seconds, a zoomed-in player can reselect his target
box                                      : cmd      :                  : Draw a debug box.
buddha                                   : 0        : , "sv", "cheat", "nf" : Survivors take damage but won't die
budget_averages_window                   : 30       : , "a"            : number of frames to look at when figuring out average frametimes
budget_background_alpha                  : 128      : , "a"            : how translucent the budget panel is
budget_bargraph_background_alpha         : 128      : , "a"            : how translucent the budget panel is
budget_bargraph_range_ms                 : 16       : , "a"            : budget bargraph range in milliseconds
budget_history_numsamplesvisible         : 100      : , "a"            : number of samples to draw in the budget history window.  The lower the better as far as rendering overhead of the budget panel
budget_history_range_ms                  : 66       : , "a"            : budget history range in milliseconds
budget_panel_bottom_of_history_fraction  : 0        : , "a"            : number between 0 and 1
budget_panel_height                      : 384      : , "a"            : height in pixels of the budget panel
budget_panel_width                       : 512      : , "a"            : width in pixels of the budget panel
budget_panel_x                           : 0        : , "a"            : number of pixels from the left side of the game screen to draw the budget panel
budget_panel_y                           : 50       : , "a"            : number of pixels from the top side of the game screen to draw the budget panel
budget_peaks_window                      : 30       : , "a"            : number of frames to look at when figuring out peak frametimes
budget_show_averages                     : 0        : , "a"            : enable/disable averages in the budget panel
budget_show_history                      : 1        : , "a"            : turn history graph off and on. . good to turn off on low end
budget_show_peaks                        : 1        : , "a"            : enable/disable peaks in the budget panel
budget_toggle_group                      : cmd      :                  : Turn a budget group on/off
bug                                      : cmd      :                  : Show the bug reporting UI.
bug_swap                                 : cmd      :                  : Automatically swaps the current weapon for the bug bait and back again.
bugreporter_uploadasync                  : 0        : , "a"            : Upload attachments asynchronously
bugreporter_username                     : 0        : , "a"            : Username to use for bugreporter
buildcubemaps                            : cmd      :                  : Rebuild cubemaps.

c_maxdistance                            : 2000     : , "a", "cheat", "cl" : 
c_maxpitch                               : 90       : , "a", "cl"      : 
c_maxyaw                                 : 135      : , "a", "cl"      : 
c_mindistance                            : 30       : , "a", "cl"      : 
c_minpitch                               : 0        : , "a", "cl"      : 
c_minyaw                                 : -135     : , "a", "cl"      : 
c_orthoheight                            : 100      : , "a", "cl"      : 
c_orthowidth                             : 100      : , "a", "cl"      : 
c_thirdpersonshoulder                    : 1        : , "a", "cl"      : 
c_thirdpersonshoulderaimdist             : 120      : , "a", "cl"      : 
c_thirdpersonshoulderdist                : 60       : , "a", "cl"      : 
c_thirdpersonshoulderheight              : -20      : , "a", "cl"      : 
c_thirdpersonshoulderoffset              : 47       : , "a", "cl"      : 
cache_print                              : cmd      :                  : cache_print [section] Print out contents of cache memory.
cache_print_lru                          : cmd      :                  : cache_print_lru [section] Print out contents of cache memory.
cache_print_summary                      : cmd      :                  : cache_print_summary [section] Print out a summary contents of cache memory.
cam_collision                            : 1        : , "a", "cl"      : When in thirdperson and cam_collision is set to 1, an attempt is made to keep the camera from passing though walls.
cam_command                              : cmd      :                  : Tells camera to change modes
cam_idealdelta                           : 4        : , "a", "cl"      : Controls the speed when matching offset to ideal angles in thirdperson view
cam_idealdist                            : 60       : , "a", "cl"      : 
cam_ideallag                             : 4        : , "a", "cl"      : Amount of lag used when matching offset to ideal angles in thirdperson view
cam_idealpitch                           : 0        : , "a", "cl"      : 
cam_idealyaw                             : 110      : , "a", "cl"      : 
cam_showangles                           : 0        : , "cheat", "cl"  : When in thirdperson, print viewangles/idealangles/cameraoffsets to the console.
cam_snapto                               : 1        : , "a", "cl"      : 
camortho                                 : cmd      :                  : Switch to orthographic camera.
cancelselect                             : cmd      :                  : 
cast_hull                                : cmd      :                  : Tests hull collision detection
cast_ray                                 : cmd      :                  : Tests collision detection
cc_emit                                  : cmd      :                  : Emits a closed caption
cc_findsound                             : cmd      :                  : Searches for soundname which emits specified text.
cc_flush                                 : cmd      :                  : Flushes async'd captions.
cc_lang                                  : 0        : , "a", "cl"      : Current close caption language (emtpy = use game UI language)
cc_random                                : cmd      :                  : Emits a random caption
cc_showblocks                            : cmd      :                  : Toggles showing which blocks are pending/loaded async.
centerview                               : cmd      :                  : 
ch_createairboat                         : cmd      :                  : Spawn airboat in front of the player.
ch_createdeath                           : cmd      :                  : Create death panel spam.
ch_createjeep                            : cmd      :                  : Spawn jeep in front of the player.
changelevel                              : cmd      :                  : Change server to the specified map
changelevel2                             : cmd      :                  : Transition to the specified map in single player
changeteam                               : cmd      :                  : Choose a new team
cl_allowdownload                         : 1        : , "a"            : Client downloads customization files
cl_allowupload                           : 1        : , "a"            : Client uploads customization files
cl_animationinfo                         : cmd      :                  : Hud element to examine.
cl_backspeed                             : 450      : , "cheat", "rep", "cl" : 
cl_benchmark_particle_system             : cmd      :                  : Measure simulation time for a named particle system
cl_camera_follow_bone_index              : -2       : , "cheat", "cl"  : Index of the bone to follow.  -2 == disabled.  -1 == root bone.  0+ is bone index.
cl_chat_wipehistory                      : 0        : , "a", "cl"      : Wipes chat history after all chat text faded out
cl_chatfilters                           : 31       : , "a", "cl"      : Stores the chat filter settings 
cl_class                                 : 0        : , "a", "user", "cl" : Default class when joining a game
cl_clearhinthistory                      : cmd      :                  : Clear memory of client side hints displayed to the player.
cl_clock_correction                      : 1        : , "cheat"        : Enable/disable clock correction on the client.
cl_clock_correction_adjustment_max_amount : 200      : , "cheat"        : Sets the maximum number of milliseconds per second it is allowed to correct the client clock. It will only correct this amount 
cl_clock_correction_adjustment_max_offset : 90       : , "cheat"        : As the clock offset goes from cl_clock_correction_adjustment_min_offset to this value (in milliseconds), it moves towards apply
cl_clock_correction_adjustment_min_offset : 10       : , "cheat"        : If the clock offset is less than this amount (in milliseconds), then no clock correction is applied.
cl_clock_correction_force_server_tick    : 999      : , "cheat"        : Force clock correction to match the server tick + this offset (-999 disables it).
cl_clock_showdebuginfo                   : 0        : , "cheat"        : Show debugging info about the clock drift. 
cl_clockdrift_max_ms                     : 150      : , "cheat"        : Maximum number of milliseconds the clock is allowed to drift before the client snaps its clock to the server's.
cl_clockdrift_max_ms_threadmode          : 0        : , "cheat"        : Maximum number of milliseconds the clock is allowed to drift before the client snaps its clock to the server's.
cl_cmdrate                               : 30       : , "a", "user"    : Max number of command packets sent to server per second
cl_destroy_ragdolls                      : cmd      :                  : Destroys all client-side ragdolls
cl_detail_avoid_force                    : 0        : , "a", "cl"      : force with which to avoid players ( in units, percentage of the width of the detail sprite )
cl_detail_avoid_radius                   : 0        : , "a", "cl"      : radius around detail sprite to avoid players
cl_detail_avoid_recover_speed            : 0        : , "a", "cl"      : how fast to recover position after avoiding players
cl_detail_max_sway                       : 2        : , "a", "cl"      : Amplitude of the detail prop sway
cl_detail_multiplier                     : 1        : , "cheat", "cl"  : extra details to create
cl_disable_ragdolls                      : 0        : , "cheat", "cl"  : 
cl_downloadfilter                        : 0        : , "a"            : Determines which files can be downloaded from the server (all, none, nosounds)
cl_drawhud                               : 1        : , "cheat", "cl"  : Enable the rendering of the hud
cl_drawleaf                              : -1       : , "cheat", "cl"  : 
cl_drawmaterial                          : 0        : , "cheat", "cl"  : Draw a particular material over the frame
cl_drawshadowtexture                     : 0        : , "cheat", "cl"  : 
cl_dump_particle_stats                   : cmd      :                  : dump particle profiling info to particle_profile.csv
cl_dumpplayer                            : cmd      :                  : Dumps info about a player
cl_dumpsplithacks                        : cmd      :                  : Dump split screen workarounds.
cl_engine_reload_rosetta                 : cmd      :                  : 
cl_ent_absbox                            : cmd      :                  : Displays the client's absbox for the entity under the crosshair.
cl_ent_bbox                              : cmd      :                  : Displays the client's bounding box for the entity under the crosshair.
cl_ent_rbox                              : cmd      :                  : Displays the client's render box for the entity under the crosshair.
cl_entityreport                          : 0        : , "cheat"        : For debugging, draw entity states to console
cl_extrapolate                           : 1        : , "cheat", "cl"  : Enable/disable extrapolation if interpolation history runs out.
cl_extrapolate_amount                    : 0        : , "cheat", "cl"  : Set how many seconds the client will extrapolate entities for.
cl_fastdetailsprites                     : 1        : , "cheat", "cl"  : whether to use new detail sprite system
cl_find_ent                              : cmd      :                  : Find and list all client entities with classnames that contain the specified substring. Format: cl_find_ent <substring> 
cl_find_ent_index                        : cmd      :                  : Display data for clientside entity matching specified index. Format: cl_find_ent_index <index> 
cl_flushentitypacket                     : 0        : , "cheat"        : For debugging. Force the engine to flush an entity packet.
cl_forcepreload                          : 0        : , "a"            : Whether we should force preloading.
cl_forwardspeed                          : 450      : , "cheat", "rep", "cl" : 
cl_fullupdate                            : cmd      :                  : Forces the server to send a full update packet
cl_glow_blur_scale                       : 3        : , "cheat", "cl"  : Controls the size of the halo shown around selected items
cl_ideal_spec_mode                       : 4        : , "user", "server_can_execute", "cl" : desired spectator mode (4 = in-eye, 5 = chase, 6 = roaming)
cl_idealpitchscale                       : 0        : , "a", "cl"      : 
cl_ignorepackets                         : 0        : , "cheat"        : Force client to ignore packets (for debugging).
cl_interp                                : 0        : , "user", "cl"   : Sets the interpolation amount (bounded on low side by server interp ratio settings).
cl_interp_ratio                          : 2        : , "user", "cl"   : Sets the interpolation amount (final amount is cl_interp_ratio / cl_updaterate).
cl_jiggle_bone_debug                     : 0        : , "cheat", "cl"  : Display physics-based 'jiggle bone' debugging information
cl_jiggle_bone_debug_pitch_constraints   : 0        : , "cheat", "cl"  : Display physics-based 'jiggle bone' debugging information
cl_jiggle_bone_debug_yaw_constraints     : 0        : , "cheat", "cl"  : Display physics-based 'jiggle bone' debugging information
cl_jiggle_bone_invert                    : 0        : , "cheat", "cl"  : 
cl_lagcompensation                       : 1        : , "user", "cl"   : Perform server side lag compensation of weapon firing events.
cl_language                              : 0        : , "user"         : Language (from HKCU\Software\Valve\Steam\Language)
cl_leafsystemvis                         : 0        : , "cheat", "cl"  : 
cl_leveloverview                         : 0        : , "cheat", "cl"  : 
cl_leveloverviewmarker                   : 0        : , "cheat", "cl"  : 
cl_logofile                              : 0        : , "a"            : Spraypoint logo decal.
cl_max_shadow_renderable_dist            : 3000     : , "cheat", "cl"  : Max distance from the camera at which things will be rendered for shadows
cl_mouseenable                           : 1        : , "cl"           : 
cl_mouselook                             : 1        : , "a", "user", "cl", "ss" : Set to 1 to use mouse for look, 0 for keyboard look. Cannot be set while connected to a server.
cl_observercrosshair                     : 1        : , "a", "cl"      : 
cl_overdraw_test                         : 0        : , "cheat", "numeric", "cl" : 
cl_panelanimation                        : cmd      :                  : Shows panel animation variables: <panelname | blank for all panels>.
cl_particle_retire_cost                  : 0        : , "cheat", "cl"  : 
cl_particles_dump_effects                : cmd      :                  : 
cl_particles_dumplist                    : cmd      :                  : Dump all new particles, optional name substring.
cl_particles_show_bbox                   : 0        : , "cheat", "cl"  : 
cl_pclass                                : 0        : , "cheat", "cl"  : Dump entity by prediction classname.
cl_pdump                                 : -1       : , "cheat", "cl"  : Dump info about this entity to screen.
cl_phys2_stats                           : cmd      :                  : Dumps client physics stats
cl_phys_timescale                        : 1        : , "cheat", "cl"  : Sets the scale of time for client-side physics (ragdolls)
cl_physgib_lifetime                      : 5        : , "cheat", "cl"  : Time in seconds physics gibs stay around for.
cl_pitchdown                             : 89       : , "cheat", "cl"  : 
cl_pitchup                               : 89       : , "cheat", "cl"  : 
cl_playerspraydisable                    : 0        : , "a", "cl"      : Disable player sprays.
cl_precacheinfo                          : cmd      :                  : Show precache info (client).
cl_pred_track                            : cmd      :                  : <entindex> <fieldname>:  Track changes to entity index entindex, for field fieldname.
cl_predict                               : 1        : , "cheat", "user", "cl" : Perform client side prediction.
cl_predictioncopy_describe               : cmd      :                  : Describe datamap_t for entindex
cl_predictionlist                        : 0        : , "cheat", "cl"  : Show which entities are predicting 
cl_predictweapons                        : 1        : , "user", "cl"   : Perform client side prediction of weapon effects.
cl_print_consistency_list                : cmd      :                  : Display's the contents and flags of the current consistency list
cl_querycache_stats                      : cmd      :                  : Display status of the query cache (client only)
cl_ragdoll_gravity                       : 386      : , "cheat", "cl"  : Sets the gravity client-side ragdolls
cl_ragdoll_limit                         : 20       : , "a", "cl"      : Maximum number of ragdolls to show (-1 disables limit)
cl_removedecals                          : cmd      :                  : Remove the decals from the entity under the crosshair.
cl_report_soundpatch                     : cmd      :                  : reports client-side sound patch count
cl_resend                                : 6        :                  : Delay in seconds before the client will resend the 'connect' attempt
cl_selection_glow_brightness             : 1        : , "cheat", "cl"  : Brightness of selection glow's
cl_shadowtextureoverlaysize              : 256      : , "cheat", "cl"  : 
cl_show_speed                            : 0        : , "cheat", "rep", "cl" : spam console with local player speed
cl_showanimstate                         : -1       : , "cheat", "cl"  : Show the (client) animation state for the specified entity (-1 for none).
cl_showanimstate_activities              : 1        : , "cheat", "cl"  : Show activities in the (client) animation state display.
cl_showents                              : cmd      :                  : Dump entity list to console.
cl_showevents                            : 0        : , "cheat"        : Print event firing info in the console
cl_showfps                               : 0        : , "cl"           : Draw fps meter at top of screen (1 = fps, 2 = smooth fps, 3 = server MS, 4 = Show FPS and Log to file )
cl_showhelp                              : 1        : , "a", "cl"      : Set to 0 to not show on-screen help
cl_showpluginmessages                    : 1        : , "a"            : Allow plugins to display messages to you
cl_showpos                               : 0        : , "cl"           : Draw current position at top of screen
cl_sidespeed                             : 450      : , "cheat", "rep", "cl" : 
cl_skipfastpath                          : 0        : , "cheat", "cl"  : Set to 1 to stop all models that go through the model fast path from rendering
cl_skipslowpath                          : 0        : , "cheat"        : Set to 1 to skip any models that don't go through the model fast path
cl_smoke_color_percent                   : 0        : , "cheat", "cl"  : 
cl_soundemitter_reload                   : cmd      :                  : Flushes the sounds.txt system
cl_soundfile                             : 0        : , "a"            : Jingle sound file.
cl_soundscape_flush                      : cmd      :                  : Flushes the client side soundscapes
cl_soundscape_printdebuginfo             : cmd      :                  : print soundscapes
cl_sporeclipdistance                     : 512      : , "cheat", "cl"  : 
cl_ss_origin                             : cmd      :                  : print origin in script format
cl_sun_decay_rate                        : 0        : , "cheat", "cl"  : 
cl_team                                  : 0        : , "a", "user", "cl" : Default team when joining a game
cl_timeout                               : 30       : , "a"            : After this many seconds without receiving a packet from the server, the client will disconnect itself
cl_updaterate                            : 30       : , "a", "user"    : Number of packets per second of updates you are requesting from the server
cl_updatevisibility                      : cmd      :                  : Updates visibility bits.
cl_upspeed                               : 320      : , "cheat", "cl"  : 
cl_view                                  : cmd      :                  : Set the view entity index.
cl_winddir                               : 0        : , "cheat", "cl"  : Weather effects wind direction angle
cl_windspeed                             : 0        : , "cheat", "cl"  : Weather effects wind speed scalar
clear                                    : cmd      :                  : Clear all console output.
clear_debug_overlays                     : cmd      :                  : clears debug overlays
clientport                               : 27005    :                  : Host game client port
closecaption                             : 0        : , "a", "user"    : Enable close captioning.
cmd                                      : cmd      :                  : Forward command to server.
cmd1                                     : cmd      :                  : sets userinfo string for split screen player in slot 1
cmd2                                     : cmd      :                  : sets userinfo string for split screen player in slot 2
cmd3                                     : cmd      :                  : sets userinfo string for split screen player in slot 3
cmd4                                     : cmd      :                  : sets userinfo string for split screen player in slot 4
collect_entity_model_name                : cmd      :                  : Collect model names of the entities you're pointing at
collision_test                           : cmd      :                  : Tests collision system
colorcorrectionui                        : cmd      :                  : Show/hide the color correction tools UI.
commentary                               : 0        : , "a", "sv"      : Desired commentary mode state.
commentary_cvarsnotchanging              : cmd      :                  : 
commentary_finishnode                    : cmd      :                  : 
commentary_firstrun                      : 0        : , "a", "cl"      : 
commentary_showmodelviewer               : cmd      :                  : Display the commentary model viewer. Usage: commentary_showmodelviewer <model name> <optional attached model name>
commentary_testfirstrun                  : cmd      :                  : 
con_enable                               : 1        : , "a"            : Allows the console to be activated.
condump                                  : cmd      :                  : dump the text currently in the console to condumpXX.log
connect                                  : cmd      :                  : Connect to specified server.
crash                                    : cmd      :                  : Cause the engine to crash (Debug!!)
create_flashlight                        : cmd      :                  : 
CreatePredictionError                    : cmd      :                  : Create a prediction error
creditsdone                              : cmd      :                  : 
crosshair                                : 1        : , "a", "cl"      : 
cvarlist                                 : cmd      :                  : Show the list of convars/concommands.

dbghist_addline                          : cmd      :                  : Add a line to the debug history. Format: <category id> <line>
dbghist_dump                             : cmd      :                  : Dump the debug history to the console. Format: <category id>     Categories:      0: Entity I/O      1: AI Decisions      2: Sc
debug_visibility_monitor                 : 0        : , "sv", "cheat"  : 
debugsystemui                            : cmd      :                  : Show/hide the debug system UI.
default_fov                              : 90       : , "cheat", "cl"  : 
demo_gototick                            : cmd      :                  : Skips to a tick in demo.
demo_pause                               : cmd      :                  : Pauses demo playback.
demo_recordcommands                      : 1        : , "cheat"        : Record commands typed at console into .dem files.
demo_resume                              : cmd      :                  : Resumes demo playback.
demo_timescale                           : cmd      :                  : Sets demo replay speed.
demo_togglepause                         : cmd      :                  : Toggles demo playback.
demolist                                 : cmd      :                  : Print demo sequence list.
demos                                    : cmd      :                  : Demo demo file sequence.
demoui                                   : cmd      :                  : Show/hide the demo player UI.
demoui2                                  : cmd      :                  : Show/hide the advanced demo player UI (demoui2).
devshots_nextmap                         : cmd      :                  : Used by the devshots system to go to the next map in the devshots maplist.
devshots_screenshot                      : cmd      :                  : Used by the -makedevshots system to take a screenshot. For taking your own screenshots, use the 'screenshot' command instead.
differences                              : cmd      :                  : Show all convars which are not at their default values.
disable_dynamic_prop_loading             : 0        : , "sv", "cheat"  : If non-zero when a map loads, dynamic props won't be loaded
disable_static_prop_loading              : 0        : , "cheat"        : If non-zero when a map loads, static props won't be loaded
disconnect                               : cmd      :                  : Disconnect game from server.
display_elapsedtime                      : cmd      :                  : Displays how much time has elapsed since the game started
display_game_events                      : 0        : , "cheat"        : 
dlight_debug                             : cmd      :                  : Creates a dlight in front of the player
drawcross                                : cmd      :                  : Draws a cross at the given location  Arguments: x y z
drawline                                 : cmd      :                  : Draws line between two 3D Points.  Green if no collision  Red is collides with something  Arguments: x1 y1 z1 x2 y2 z2
dsp_dist_max                             : 1440     : , "cheat", "demo" : 
dsp_dist_min                             : 0        : , "cheat", "demo" : 
dsp_enhance_stereo                       : 0        : , "a"            : 
dsp_off                                  : 0        : , "cheat"        : 
dsp_player                               : 0        : , "demo", "server_can_execute" : 
dsp_reload                               : cmd      :                  : 
dsp_slow_cpu                             : 0        : , "a", "demo"    : 
dsp_volume                               : 0        : , "a", "demo"    : 
dti_flush                                : cmd      :                  : Write out the datatable instrumentation files (you must run with -dti for this to work).
dump_entity_sizes                        : cmd      :                  : Print sizeof(entclass)
dump_globals                             : cmd      :                  : Dump all global entities/states
dump_server_demo                         : cmd      :                  : dump_sever_demo <filename>
dumpentityfactories                      : cmd      :                  : Lists all entity factory names.
dumpeventqueue                           : cmd      :                  : Dump the contents of the Entity I/O event queue to the console.
dumpgamestringtable                      : cmd      :                  : Dump the contents of the game string table to the console.
dumpsavedir                              : cmd      :                  : List the contents of the save directory in memory
dumpstringtables                         : cmd      :                  : Print string tables to console.

echo                                     : cmd      :                  : Echo text to console.
editdemo                                 : cmd      :                  : Edit a recorded demo file (.dem ).
editor_toggle                            : cmd      :                  : Disables the simulation and returns focus to the editor
enable_debug_overlays                    : 1        : , "sv", "cheat"  : Enable rendering of debug overlays
enable_skeleton_draw                     : 0        : , "cheat", "cl"  : Render skeletons in wireframe
endmovie                                 : cmd      :                  : Stop recording movie frames.
ent_absbox                               : cmd      :                  : Displays the total bounding box for the given entity(s) in green.  Some entites will also display entity specific overlays.  Ar
ent_attachments                          : cmd      :                  : Displays the attachment points on an entity.  Arguments:    {entity_name} / {class_name} / no argument picks what player is loo
ent_autoaim                              : cmd      :                  : Displays the entity's autoaim radius.  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at
ent_bbox                                 : cmd      :                  : Displays the movement bounding box for the given entity(ies) in orange.  Some entites will also display entity specific overlay
ent_cancelpendingentfires                : cmd      :                  : Cancels all ent_fire created outputs that are currently waiting for their delay to expire.
ent_create                               : cmd      :                  : Creates an entity of the given type where the player is looking.
ent_dump                                 : cmd      :                  : Usage:    ent_dump <entity name> 
ent_fire                                 : cmd      :                  : Usage:    ent_fire <target> [action] [value] [delay] 
ent_info                                 : cmd      :                  : Usage:    ent_info <class name> 
ent_keyvalue                             : cmd      :                  : Applies the comma delimited key=value pairs to the entity with the given Hammer ID.  Format: ent_keyvalue <entity id> <key1>=<v
ent_messages                             : cmd      :                  : Toggles input/output message display for the selected entity(ies).  The name of the entity will be displayed as well as any mes
ent_messages_draw                        : 0        : , "sv", "cheat"  : Visualizes all entity input/output activity.
ent_name                                 : cmd      :                  : 
ent_orient                               : cmd      :                  : Orient the specified entity to match the player's angles. By default, only orients target entity's YAW. Use the 'allangles' opt
ent_pause                                : cmd      :                  : Toggles pausing of input/output message processing for entities.  When turned on processing of all message will stop.  Any mess
ent_pivot                                : cmd      :                  : Displays the pivot for the given entity(ies).  (y=up=green, z=forward=blue, x=left=red).   Arguments:    {entity_name} / {class
ent_rbox                                 : cmd      :                  : Displays the total bounding box for the given entity(s) in green.  Some entites will also display entity specific overlays.  Ar
ent_remove                               : cmd      :                  : Removes the given entity(s)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
ent_remove_all                           : cmd      :                  : Removes all entities of the specified type  Arguments:    {entity_name} / {class_name} 
ent_rotate                               : cmd      :                  : Rotates an entity by a specified # of degrees
ent_script_dump                          : cmd      :                  : Dumps the names and values of this entity's script scope to the console  Arguments:    {entity_name} / {class_name} / no argume
ent_setang                               : cmd      :                  : Set entity angles
ent_setname                              : cmd      :                  : Sets the targetname of the given entity(s)  Arguments:    {new entity name} {entity_name} / {class_name} / no argument picks wh
ent_setpos                               : cmd      :                  : Move entity to position
ent_show_response_criteria               : cmd      :                  : Print, to the console, an entity's current criteria set used to select responses.  Arguments:    {entity_name} / {class_name} /
ent_step                                 : cmd      :                  : When 'ent_pause' is set this will step through one waiting input / output message at a time.
ent_teleport                             : cmd      :                  : Teleport the specified entity to where the player is looking.  Format: ent_teleport <entity name>
ent_text                                 : cmd      :                  : Displays text debugging information about the given entity(ies) on top of the entity (See Overlay Text)  Arguments:    {entity_
ent_viewoffset                           : cmd      :                  : Displays the eye position for the given entity(ies) in red.  Arguments:    {entity_name} / {class_name} / no argument picks wha
envmap                                   : cmd      :                  : 
escape                                   : cmd      :                  : Escape key pressed.
exec                                     : cmd      :                  : Execute script file.
exit                                     : cmd      :                  : Exit the engine.
explode                                  : cmd      :                  : Kills the player with explosive damage
explodevector                            : cmd      :                  : Kills a player applying an explosive force. Usage: explodevector <player> <x value> <y value> <z value>

fadein                                   : cmd      :                  : fadein {time r g b}: Fades the screen in from black or from the specified color over the given number of seconds.
fadeout                                  : cmd      :                  : fadeout {time r g b}: Fades the screen to black or to the specified color over the given number of seconds.
filesystem_buffer_size                   : 0        :                  : Size of per file buffers. 0 for none
filesystem_max_stdio_read                : 16       :                  : 
filesystem_native                        : 1        :                  : Use native FS or STDIO
filesystem_report_buffered_io            : 0        :                  : 
filesystem_unbuffered_io                 : 1        :                  : 
filesystem_use_overlapped_io             : 1        :                  : 
find                                     : cmd      :                  : Find concommands with the specified string in their name/help text.
find_ent                                 : cmd      :                  : Find and list all entities with classnames or targetnames that contain the specified substring. Format: find_ent <substring> 
find_ent_index                           : cmd      :                  : Display data for entity matching specified index. Format: find_ent_index <index> 
findflags                                : cmd      :                  : Find concommands by flags.
firetarget                               : cmd      :                  : 
firstperson                              : cmd      :                  : Switch to firstperson camera.
fish_debug                               : 0        : , "cheat", "cl"  : Show debug info for fish
fish_dormant                             : 0        : , "sv", "cheat", "rep" : Turns off interactive fish behavior. Fish become immobile and unresponsive.
flush                                    : cmd      :                  : Flush unlocked cache memory.
flush_locked                             : cmd      :                  : Flush unlocked and locked cache memory.
fog_2dskyboxfogfactor                    : -1       : , "cheat", "cl"  : 
fog_color                                : -1       : , "cheat", "cl"  : 
fog_colorskybox                          : -1       : , "cheat", "cl"  : 
fog_enable                               : 1        : , "cheat", "cl"  : 
